[Header]
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
FILEOPENTIME, 1711665277.201679, 03/28/2024, 15:34:37 PM
BYAPP, MultiVuDataFile Python class
TITLE, Hallbar data
DATATYPE, COMMENT,1
DATATYPE, TIME,2
TIMEMODE, SECONDS, RELATIVE
STARTUPGROUP, All
STARTUPAXIS, X, 2, LINEAR, AUTO
[Data]
"Comment","Time Stamp (sec)","Time","Temperature","Field","Chamber Status","Resistance"
,1711666175.038031,38,5.0,-268.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666176.049783,39,5.0,-250.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666177.063074,40,5.0,-232.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666178.079355,41,5.0,-208.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666179.079677,42,5.0,-190.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666180.098951,43,5.0,-172.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666181.112241,44,5.0,-148.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666182.124531,45,5.0,-130.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666183.125855,46,5.0,-112.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666184.142087,47,5.0,-88.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666185.153478,48,5.0,-70.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666186.154993,49,5.0,-52.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666187.170308,50,5.0,-34.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666423.556115,0,5.0,-50000.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666424.788807,1,5.0,-50000.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666426.02453,2,5.0,-49976.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666427.245296,3,5.0,-49952.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666428.469024,4,5.0,-49928.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666429.703721,5,5.0,-49904.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666430.937424,6,5.0,-49880.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666432.15849,7,5.0,-49856.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666433.381237,8,5.0,-49832.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666434.602955,9,5.0,-49808.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666435.822725,10,5.0,-49784.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666437.045465,11,5.0,-49760.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666438.266148,12,5.0,-49736.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666439.501843,13,5.0,-49712.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666440.722578,14,5.0,-49688.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666441.944339,15,5.0,-49664.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666443.178067,16,5.0,-49640.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666444.399798,17,5.0,-49616.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666445.620538,18,5.0,-49592.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666446.855539,19,5.0,-49568.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666448.076762,20,5.0,-49544.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666449.302488,21,5.0,-49520.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666450.53519,22,5.0,-49496.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666451.755022,23,5.0,-49472.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666452.978777,24,5.0,-49448.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666454.201506,25,5.0,-49424.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666455.425265,26,5.0,-49400.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666456.659002,27,5.0,-49376.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666457.893698,28,5.0,-49352.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666459.114432,29,5.0,-49328.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666460.34913,30,5.0,-49304.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666461.574851,31,5.0,-49280.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666462.80157,32,5.0,-49256.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666464.032914,33,5.0,-49226.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666465.252687,34,5.0,-49202.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666466.487386,35,5.0,-49184.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666467.710114,36,5.0,-49154.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666468.939856,37,5.0,-49130.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666470.163588,38,5.0,-49106.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666471.395699,39,5.0,-49082.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666472.630469,40,5.0,-49058.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666473.865165,41,5.0,-49034.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666475.0859,42,5.0,-49010.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666476.308629,43,5.0,-48986.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666477.543327,44,5.0,-48962.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666478.766102,45,5.0,-48938.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666479.999317,46,5.0,-48914.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666481.232369,47,5.0,-48890.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666482.454101,48,5.0,-48866.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666483.689797,49,5.0,-48842.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666484.911529,50,5.0,-48818.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666486.132281,51,5.0,-48794.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666487.369007,52,5.0,-48770.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666488.590946,53,5.0,-48746.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666489.813704,54,5.0,-48722.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666491.031447,55,5.0,-48698.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666492.258142,56,5.0,-48674.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666493.474888,57,5.0,-48650.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666494.69665,58,5.0,-48626.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666495.9178,59,5.0,-48602.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666497.147511,60,5.0,-48578.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666498.369242,61,5.0,-48554.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666499.590979,62,5.0,-48530.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666500.812711,63,5.0,-48506.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666502.038432,64,5.0,-48482.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666503.274127,65,5.0,-48458.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666504.493902,66,5.0,-48434.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666505.715994,67,5.0,-48410.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666506.949693,68,5.0,-48386.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666508.171425,69,5.0,-48362.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666509.394155,70,5.0,-48338.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666510.626889,71,5.0,-48314.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666511.862621,72,5.0,-48290.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666513.084384,73,5.0,-48266.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666514.307113,74,5.0,-48242.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666515.528846,75,5.0,-48218.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666516.782603,76,5.0,-48194.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666517.987374,77,5.0,-48170.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666519.211283,78,5.0,-48146.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666520.433319,79,5.0,-48122.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666521.668116,80,5.0,-48098.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666522.900759,81,5.0,-48074.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666524.134409,82,5.0,-48044.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666525.358135,83,5.0,-48020.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666526.588809,84,5.0,-47996.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666527.817503,85,5.0,-47972.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666529.052371,86,5.0,-47948.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666530.2871,87,5.0,-47924.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666531.509868,88,5.0,-47900.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666532.744523,89,5.0,-47876.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666533.964964,90,5.0,-47852.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666535.187647,91,5.0,-47828.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666536.414697,92,5.0,-47804.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666537.641945,93,5.0,-47780.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666538.876585,94,5.0,-47756.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666540.101363,95,5.0,-47732.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666541.322129,96,5.0,-47708.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666542.555829,97,5.0,-47684.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666543.781548,98,5.0,-47660.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666545.00328,99,5.0,-47636.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666546.226026,100,5.0,-47612.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666547.462708,101,5.0,-47588.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666548.695442,102,5.0,-47564.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666549.918171,103,5.0,-47540.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666551.141896,104,5.0,-47516.0,Purged and Sealed,(50.0, 'Call was successful')
